city,country,category,name,address,why_it_matters,associated_person_or_event,source_url
New Orleans,USA,Literature,Lyle Saxon grave (Metairie Cemetery),"Metairie Cemetery, 5100 Pontchartrain Blvd, New Orleans, LA 70124, USA",Writer and folklorist Lyle Saxon documented New Orleans and Louisiana culture; his grave is a precise location tied to a prominent local literary figure.,Lyle Saxon,https://en.wikipedia.org/wiki/Lyle_Saxon
New Orleans,USA,Literature,John Kennedy Toole grave (Greenwood Cemetery),"Greenwood Cemetery, 5190 Canal Blvd, New Orleans, LA 70124, USA","John Kennedy Toole, author of 'A Confederacy of Dunces,' is buried here; the site is a specific, person-tied memorial location in New Orleans.",John Kennedy Toole,https://en.wikipedia.org/wiki/John_Kennedy_Toole
New Orleans,USA,Literature,The New Orleans Review / University of New Orleans (literary journal workplace tie),"University of New Orleans, 2000 Lakeshore Dr, New Orleans, LA 70148, USA",UNO is a fixed-address academic home for New Orleans literary activity and has been associated with literary journals and writing programs that publish and support writers.,University of New Orleans literary community / The New Orleans Review,https://www.uno.edu/
New Orleans,USA,Literature,Anne Rice House (The “Breathing House”),"1239 First St, New Orleans, LA 70130, USA","This is the best-known New Orleans residence associated with Anne Rice, whose Gothic and vampire novels are strongly tied to the city’s imagery.",Anne Rice,https://en.wikipedia.org/wiki/Anne_Rice
New Orleans,USA,Literature,Storyville Museum / library collections location (institutional workplace tie for local literary-research community),"New Orleans Public Library, 219 Loyola Ave, New Orleans, LA 70112, USA",The main library is a fixed-address hub for archival and special-collection research used by writers and historians of New Orleans; it is a concrete place tied to the city’s literary production and documentation.,New Orleans writers and researchers (library-based work),https://nolalibrary.org/location/main-library/
New Orleans,USA,Literature,Tulane University (writer-professors and literary culture),"6823 St Charles Ave, New Orleans, LA 70118, USA","Tulane is a prominent New Orleans address tied to the city’s literary production through writer-professors, readings, small magazines, and archives. It functions as a concrete workplace and institutional anchor for New Orleans literature.",Writer-professors and literary programs at Tulane University,https://en.wikipedia.org/wiki/Tulane_University
New Orleans,USA,Literature,Tennessee Williams’ French Quarter residence (often cited address),"722 Toulouse St, New Orleans, LA 70130, USA",This address is commonly cited in New Orleans literary guides and marker references as a residence associated with playwright Tennessee Williams during his formative years in the city. Williams’ time in the Quarter strongly shaped his writing and stage work.,Tennessee Williams,
New Orleans,USA,Literature,The Tennessee Williams Theatre (named memorial venue),"4 Eucalyptus Rd, New Orleans, LA 70124, USA","This theatre is a named New Orleans venue explicitly memorializing Tennessee Williams, anchoring his legacy to a specific city address. It serves as a performance site that keeps literary drama central to New Orleans culture.",Tennessee Williams,https://en.wikipedia.org/wiki/Tennessee_Williams_Theatre
New Orleans,USA,Literature,The Times-Picayune / The New Orleans Advocate (newsroom headquarters; writers’ workplace),"3800 Howard Ave, New Orleans, LA 70125, USA","This address is associated with New Orleans’ major daily newspaper operations, a long-running workplace for columnists, critics, and author-journalists who helped shape the city’s literary and cultural voice. Many New Orleans writers built careers through this newsroom and its predecessors.",New Orleans newspaper writers and author-journalists (institutional workplace),https://en.wikipedia.org/wiki/The_Times-Picayune
New Orleans,USA,Literature,Frances Parkinson Keyes House,"2504 Prytania St, New Orleans, LA 70130, USA","This is the well-known New Orleans home associated with bestselling author Frances Parkinson Keyes, who wrote popular novels set in Louisiana. The house is frequently cited in biographical references to her life and work in the city.",Frances Parkinson Keyes,https://en.wikipedia.org/wiki/Frances_Parkinson_Keyes_House
New Orleans,USA,Literature,The Historic New Orleans Collection – Williams Research Center,"410 Chartres St, New Orleans, LA 70130, USA",,,https://en.wikipedia.org/wiki/The_Historic_New_Orleans_Collection
New Orleans,USA,Literature,Metairie Cemetery (Anne Rice mausoleum),"5100 Pontchartrain Blvd, New Orleans, LA 70124, USA",,,https://en.wikipedia.org/wiki/Metairie_Cemetery
New Orleans,USA,Literature,Faulkner House / Faulkner House Books (Pirate's Alley),"624 Pirate's Alley, New Orleans, LA 70116, USA",,,https://en.wikipedia.org/wiki/Faulkner_House_Books
New Orleans,USA,Literature,Greenwood Cemetery (John Kennedy Toole grave),"5190 Canal Blvd, New Orleans, LA 70124, USA",,,https://en.wikipedia.org/wiki/John_Kennedy_Toole
